Kapitel/Abschnitt;Kontroll-ID;Typ;Anforderung;Prüfmethode;Nachweis;Konformitätsstatus;Feststellung;Anmerkungen Unterstützung;Anmerkungen Auditor
04.5 Informationssicherheitsteam;4.5.1;Verpflichtend;Das Topmanagement MUSS ein Informationssicherheitsteam (IST) bestellen, in dem Topmanagement, ISB, IT-Verantwortliche, Mitarbeiter und Datenschutzverantwortliche vertreten sind.;D;Bestellungsurkunde des IST, Teamzusammensetzung;1;Dokumentation liegt vor;;
04.6 IT-Verantwortliche;4.6.1;Verpflichtend;Die Aufgaben eines IT-Verantwortlichen MÜSSEN vom Topmanagement mindestens einem Mitarbeiter zugewiesen werden.;I;Ernennungsschreiben, Stellenbeschreibung;1;IT Leiter ist benannt ;;
04.6 IT-Verantwortliche;4.6.2;Verpflichtend;IT-Verantwortliche MÜSSEN IS-Richtlinien in ihrem Verantwortungsbereich umsetzen.;I;Nachweis der umgesetzten Maßnahmen, Berichte;0;Noch nicht eingeführt, Struktur wird gerade aufgebaut;;
04.6 IT-Verantwortliche;4.6.3;Verpflichtend;IT-Verantwortliche MÜSSEN Maßnahmen zur Verbesserung der Informationssicherheit mit dem ISB abstimmen.;I;Protokolle, E-Mails, Dokumentation der Abstimmung;0;Noch nicht eingeführt, Struktur wird gerade aufgebaut;;
04.7 Administratoren;4.7.1;Verpflichtend;Die Verantwortlichkeiten eines Administrators MÜSSEN mindestens einem Mitarbeiter zugewiesen werden.;I;Ernennungsschreiben, Stellenbeschreibung;1;IT Leiter ist benannt ;;
04.7 Administratoren;4.7.2;Verpflichtend;Administratoren MÜSSEN die technischen Maßnahmen für die Informationssicherheit implementieren.;I;Konfigurationen, Einstellungen, Systemprüfungen;1;Dokumentation in JIRA nachweisbar;;
04.8 Vorgesetzte;4.8.1;Verpflichtend;Vorgesetzte MÜSSEN sicherstellen, dass die Maßnahmen zur Informationssicherheit von ihren Mitarbeitern umgesetzt werden.;I;Mitarbeitergespräche, Schulungsnachweise, Kontrollen;0;Noch nicht eingeführt, Struktur wird gerade aufgebaut;;
04.9 Mitarbeiter;4.9.1;Verpflichtend;Mitarbeiter MÜSSEN Maßnahmen zur Informationssicherheit einhalten und umsetzen.;I;Stichprobenkontrollen, Mitarbeitergespräche;1;In IS-Leitlinie dokumentiert;;
04.9 Mitarbeiter;4.9.2;Verpflichtend;Mitarbeiter MÜSSEN Sicherheitsvorfälle melden.;I;Meldeverfahren, Vorfallsdokumentation;0;Datenschutzvorfallprozess liegt vor aber keine Dokumentation bereitgestellt ;;
04.10 Projektverantwortliche;4.10.1;Verpflichtend;Projektverantwortliche MÜSSEN den ISB bei Projekten mit Auswirkung auf die Informationsverarbeitung konsultieren.;I;Projektdokumentation, Abstimmungsprotokolle;0;Scope-Frage unklar -> soll Softwareentwicklung (Wertschöpfender Prozess) auch betrachtet werden;;
04.11 Externe Personen;4.11.1;Verpflichtend;Externe Personen MÜSSEN verpflichtet werden, Maßnahmen zur Informationssicherheit einzuhalten, wenn sie Zugriff auf kritische Informationen haben oder nichtöffentliche IT-Bereiche nutzen.;D;Vertraulichkeitsvereinbarungen, Verträge;0;liegt nicht vor;;
05.2 Allgemeine Anforderungen;5.2.1;Verpflichtend;Die IS-Leitlinie MUSS vom Topmanagement erstellt und in Kraft gesetzt werden.;I;Unterschriebene IS-Leitlinie;0.5;Erstellt aber noch nicht in Kraft;;
05.2 Allgemeine Anforderungen;5.2.2;Verpflichtend;Das Topmanagement MUSS die IS-Leitlinie jährlich auf Aktualität prüfen und bei Bedarf aktualisieren.;I;Prüfvermerk, aktualisierte Version mit Änderungshistorie;0.5;Confluence stellt Änderungshistorie dar;;
05.2 Allgemeine Anforderungen;5.2.3;Verpflichtend;Die IS-Leitlinie MUSS initial und nach Aktualisierung allen Betroffenen zur Verfügung stehen.;I;Veröffentlichung im Intranet, Versandnachweise;0;Noch nicht eingeführt, Struktur wird gerade aufgebaut;;
05.3 Inhalte;5.3.1;Verpflichtend;Die IS-Leitlinie MUSS die Ziele und den Stellenwert der Informationssicherheit definieren.;I;IS-Leitlinie mit entsprechenden Inhalten;0.5;IT-Sicherheitsprinzipien noch anzupassen;;
05.3 Inhalte;5.3.2;Verpflichtend;Die IS-Leitlinie MUSS sämtliche erforderlichen Positionen und deren Aufgaben definieren.;I;IS-Leitlinie mit Rollenbeschreibungen;1;Ist in IS-410 & IS-100 festgelgt;;
05.3 Inhalte;5.3.3;Empfohlen;Die IS-Leitlinie SOLLTE auf Konsequenzen ihrer Nichtbeachtung hinweisen.;I;IS-Leitlinie mit Konsequenzen bei Nichtbeachtung;1;Sanktion in IS-100 sind enthalten;;
06.2 Allgemeine Anforderungen;6.2.1;Verpflichtend;Jede IS-Richtlinie MUSS vom ISB erstellt und vom Topmanagement in Kraft gesetzt werden.;I;Unterschriebene IS-Richtlinien;0;Noch nicht eingeführt, Struktur wird gerade aufgebaut;;
06.2 Allgemeine Anforderungen;6.2.2;Verpflichtend;Der ISB MUSS jede IS-Richtlinie jährlich auf Aktualität prüfen und aktualisieren.;I;Prüfvermerke, Änderungshistorie;0;Noch nicht eingeführt, Struktur wird gerade aufgebaut;;
06.2 Allgemeine Anforderungen;6.2.3;Empfohlen;Bei Erstellung und Anpassung von IS-Richtlinien SOLLTEN alle gesetzlichen, betrieblichen und vertraglichen Anforderungen umgesetzt werden.;I;Anforderungsanalyse, Referenzierung relevanter Normen;0;Dokumentation konnte nicht vorgelegt werden;;
06.2 Allgemeine Anforderungen;6.2.4;Verpflichtend;IS-Richtlinien MÜSSEN initial und nach Aktualisierung den Zielgruppen zeitnah in verständlicher Form bekannt gegeben werden.;I;Versandnachweise, Schulungsdokumentation;0;Noch nicht eingeführt, Struktur wird gerade aufgebaut;;
06.2 Allgemeine Anforderungen;6.2.5;Verpflichtend;IS-Richtlinien MÜSSEN umgesetzt oder vom Topmanagement aufgehoben werden.;I;Umsetzungsnachweise oder Aufhebungsverfügung;0;Noch nicht eingeführt, Struktur wird gerade aufgebaut;;
06.3 Inhalte;6.3.1;Verpflichtend;Jede IS-Richtlinie MUSS ihre Zielgruppe definieren.;D;IS-Richtlinien mit Zielgruppendefinition;1;VDS 10000 Template liegt vor - Geltungsbereich;;
06.3 Inhalte;6.3.2;Verpflichtend;Jede IS-Richtlinie MUSS begründen, warum sie erstellt wurde und was mit ihr erreicht werden soll.;D;IS-Richtlinien mit Begründung und Zielen;1;VDS 10000 Template liegt vor - Ziel und Zweck;;
06.3 Inhalte;6.3.3;Verpflichtend;Jede IS-Richtlinie MUSS mit anderen Leitlinien und Richtlinien konsistent sein.;I;Konsistenzprüfung, Referenzierung von Dokumenten;0.5;Referenzierungen sind oft einsehbar aber noch nicht vollständig ;;
06.3 Inhalte;6.3.4;Verpflichtend;Jede IS-Richtlinie MUSS auf Konsequenzen ihrer Nichtbeachtung hinweisen.;D;IS-Richtlinien mit Konsequenzen bei Nichtbeachtung;1;VDS 10000 Template liegt vor - Verbindlichkeit;;
06.4 Aufbau und Funktionsweise des ISMS;6.4.1;Verpflichtend;Aufbau und Funktionsweise des ISMS MUSS in einer IS-Richtlinie verbindlich festgelegt werden.;D;ISMS-Richtlinie mit Strukturbeschreibung;1;in IS-200 ;;
06.5 Regelungen für Nutzer;6.5.1;Verpflichtend;Es MÜSSEN Regelungen für den Umgang mit der IT getroffen werden, die generelle Nutzungsbedingungen, Privatnutzung und grundlegende Verhaltensregeln umfassen.;D;IT-Nutzungsrichtlinie;0.5;Vorlage liegt vor, aber keine Freigabe oder Abstimmung durchgeführt;;
06.6 Weitere Richtlinien;6.6.1;Verpflichtend;Es MÜSSEN spezifische IS-Richtlinien für relevante Bereiche wie mobile IT-Systeme, mobile Datenträger, IT-Outsourcing, Datensicherung und Sicherheitsvorfälle erarbeitet werden.;I;Spezifische IS-Richtlinien zu den genannten Themen;0.5;"IS-204, IS-205, IS-206, IS-210; Erstellt aber alle noch freizugegeben und abzustimmen";;
06.6 Weitere Richtlinien;6.6.2;Verpflichtend;Der Bedarf für weitere IS-Richtlinien MUSS jährlich vom ISB ermittelt werden.;I;Bedarfsanalyse, Prüfvermerk;0;Noch nicht eingeführt, Struktur wird gerade aufgebaut;;
07.2 Vor Aufnahme der Tätigkeit;7.2.1;Verpflichtend;Bei Besetzung einer für Informationssicherheit relevanten Position MUSS die Organisation sicherstellen, dass der Bewerber über Eignung und Vertrauenswürdigkeit verfügt.;D;Anforderungsprofile, Bewerbungsunterlagen, Zeugnisse, Führungszeugnisse;0.5;Es gibt Einzelverfahren (Einarbeitung, Beendigung) aber nicht zu diesem Fall ;;
07.3 Aufnahme der Tätigkeit;7.3.1;Verpflichtend;Es MUSS ein Verfahren implementiert werden, das bei Aufnahme der Tätigkeit eines Mitarbeiters Vertraulichkeitsverpflichtungen, Einweisungen und Schulungen sowie Zugriffsrechte regelt.;D;Onboarding-Prozess, Einarbeitungspläne, Vertraulichkeitserklärungen;1;Einarbeitungs-Checkliste liegt vor, Prozess ist definiert;;
07.4 Beendigung oder Wechsel der Tätigkeit;7.4.1;Verpflichtend;Es MUSS ein Verfahren implementiert werden, das bei Beendigung oder Wechsel der Tätigkeit eines Mitarbeiters Informationsweitergabe sowie Anpassung von Zugängen, Zugriffsrechten und Zutrittsrechten regelt.;I;Offboarding-Prozess, Berechtigungsentzug, Rückgabeprotokolle;1;Offboarding Prozess liegt vor;;
08.2 Aktualität des Wissens;8.2.1;Verpflichtend;Es MUSS ein Verfahren implementiert werden, mit dem relevante Stellen über geänderte Anforderungen sowie neue Bedrohungen und Schwachstellen informiert werden.;I;Informationsprozess, Newsletter, Schulungsunterlagen;0;Verfahren ist nicht eingeführt;;
08.3 Schulung und Sensibilisierung;8.3.1;Verpflichtend;Es MUSS ein Verfahren für regelmäßige Schulungs- und Sensibilisierungsmaßnahmen implementiert werden.;I;Schulungsplan, Teilnahmenachweise, Schulungsunterlagen;0;Verfahren noch nicht eingeführt, DSB führt das Thema gerade ein für Datenschutz, InfoSec nicht vorhanden;;
09.1 Grundlagen;9.1.1;Verpflichtend;Der ISB MUSS die kritischen IT-Ressourcen der Organisation ermitteln und jährlich die Aufstellung auf Aktualität prüfen.;I;Aufstellung kritischer IT-Ressourcen, Prüfvermerke;0;Risikobewertung aus ISO9001 vorhanden aber keine Bewertung aus InfoSec Sicht;;
09.2 Prozesse;9.2.1;Verpflichtend;Die Organisation MUSS ihre zentralen Prozesse und Prozesse mit hohem Schadenpotenzial identifizieren und dokumentieren.;I;Prozessdokumentation mit Bewertung der Kritikalität;0;Risikobewertung aus ISO9001 vorhanden aber keine Bewertung aus InfoSec Sicht;;
09.3 Kritische Informationen;9.3.1;Verpflichtend;Die Organisation MUSS ermitteln, ob sie kritische Informationen verarbeitet, und diese dokumentieren.;I;Dokumentation kritischer Informationen mit Bewertung;0;Risikobewertung aus ISO9001 vorhanden aber keine Bewertung aus InfoSec Sicht;;
09.4 Kritische IT-Ressourcen;9.4.1;Verpflichtend;Die Organisation MUSS ihre kritischen IT-Ressourcen bestimmen und dokumentieren.;I;Dokumentation kritischer IT-Ressourcen mit Begründung;0;Risikobewertung aus ISO9001 vorhanden aber keine Bewertung aus InfoSec Sicht;;
10.2 Inventarisierung;10.2.1;Verpflichtend;Es MUSS eine Inventarisierung vorhanden sein, in der alle IT-Systeme verzeichnet sind und aktuell gehalten werden.;D;IT-Inventarliste, Dokumentation der Aktualisierung;1;Asset Management ist vorhanden;;
10.3.2 Inbetriebnahme und Änderung;10.3.2.1;Verpflichtend;Es MUSS ein Verfahren für die Inbetriebnahme und Änderung der IT-Systeme implementiert werden.;I;Change-Management-Prozess, Freigabedokumentation;0;Change-Management ist nicht vorhanden;;
10.3.3 Ausmusterung und Wiederverwendung;10.3.3.1;Verpflichtend;Es MUSS ein Verfahren für das Ausmustern und Wiederverwenden der IT-Systeme implementiert werden.;D;Ausmusterungsprozess, Löschprotokolle;0;"kein Prozess definiert; IS-310, IS-311 liegen vor sind aber nur Entwürfe";;
10.4.2 Software;10.4.2.1;Verpflichtend;System- und Anwendungssoftware MUSS aus vertrauenswürdigen Quellen bezogen werden.;I;Beschaffungsprozess, Lieferantenbewertung;0.5;Prozess wird gelebt, Dokumentation noch offen;;
10.4.2 Software;10.4.2.2;Empfohlen;Es SOLLTE ausschließlich System- und Anwendungssoftware eingesetzt werden, die Sicherheitsupdates erhält.;I;Softwareinventar mit Supportstatus, Updatefähigkeit;0.5;wird gemacht im täglichen Arbeitsprozess, aber keine Dokumentation gewünscht;;
10.4.2 Software;10.4.2.3;Verpflichtend;Sicherheitsupdates MÜSSEN getestet, freigegeben und umgehend eingespielt werden.;I;Patchmanagement-Prozess, Updateprotokolle;0.5;kein dokumentierter Prozess, aber wird gelebt;;
10.4.3 Beschränkung des Netzwerkverkehrs;10.4.3.1;Verpflichtend;Der Netzwerkverkehr von und zu IT-Systemen MUSS bei exponierten Systemen oder nicht behebbaren Schwachstellen auf das notwendige Minimum beschränkt werden.;I;Firewall-Regeln, Portscans, Netzwerksegmentierung;1;DMZ, VPN, Firewall-Regeln, V-LANs;;
10.4.4 Protokollierung;10.4.4.1;Verpflichtend;Jedes IT-System MUSS Anmeldeversuche, Fehler und Sicherheitsereignisse protokollieren.;I;Logging-Konfiguration, Protokolldateien;0.5;kein Logserver vorhanden aber allgemeine Logs werden erstellt;;Schwierige Einschätzung da kritische Systeme nicht bekannt
10.4.4 Protokollierung;10.4.4.2;Verpflichtend;Protokolldaten MÜSSEN 6 Monate aufbewahrt werden.;I;Aufbewahrungsrichtlinie, Prüfung der Logdaten;0.5;bei Firewall 1 Jahr, bei anderen Systemen unklar;;
10.4.4 Protokollierung;10.4.4.3;Verpflichtend;Die Uhren aller IT-Systeme MÜSSEN synchronisiert sein.;I;NTP-Konfiguration, Zeitsynchronisation;1;NTP-Server aus Internet bezogen;;
10.4.6 Schadsoftware;10.4.6.1;Verpflichtend;Jedes IT-System MUSS über einen Echtzeitschutz vor Schadsoftware verfügen.;I;Installation und Konfiguration von Antivirensoftware;1;Antivirus von ESET auf allen Geräten (Server und Endgeräte);;
10.4.6 Schadsoftware;10.4.6.2;Verpflichtend;Das Ausführen erkannter Schadsoftware MUSS verhindert werden.;I;Konfiguration des Virenschutzes, Blockierungstest;1;Antivirus von ESET auf allen Geräten (Server und Endgeräte);;
10.4.6 Schadsoftware;10.4.6.3;Verpflichtend;Die Software zum Schutz gegen Schadsoftware MUSS automatisch und regelmäßig aktualisiert werden.;I;Update-Konfiguration, Aktualität der Signaturen;1;Antivirus von ESET auf allen Geräten (Server und Endgeräte);;
10.4.7 Starten von fremden Medien;10.4.7.1;Verpflichtend;Es MUSS sichergestellt werden, dass IT-Systeme nur von autorisierten Medien gestartet werden können.;I;BIOS/UEFI-Passwortschutz, Boot-Konfiguration;0;BIOS / UEFI-Passwortschutz nicht eingerichtet;;
10.4.8 Authentifizierung;10.4.8.1;Verpflichtend;Der Zugang zu allen nichtöffentlichen Bereichen der IT-Systeme MUSS durch Authentifizierung abgesichert werden.;I;Login-Konfiguration, Authentifizierungsmechanismen;1;Login ist stehts eingerichtet;;
10.4.9 Zugänge und Zugriffe;10.4.9.1;Verpflichtend;Administrative Tätigkeiten MÜSSEN über die dafür vorgesehenen Zugänge erfolgen.;I;Separate Admin-Accounts, Privileged Access Management;1;Admin-Accounts vorhanden, auch eigene Adminmaschinen (für jeden Admin ein Adminserver, welcher Berechtigungen hat);;
10.5.2 IS-Richtlinie für mobile IT-Systeme;10.5.2.1;Verpflichtend;In einer IS-Richtlinie MÜSSEN Regelungen für den Umgang mit mobilen IT-Systemen getroffen werden.;D;Richtlinie für mobile IT-Systeme;0.5;"kein Prozess definiert; IS-205, IS-206, IS-211 liegen vor sind aber nur Entwürfe";;
10.5.3 Schutz der Informationen;10.5.3.1;Verpflichtend;Die auf mobilen IT-Systemen gespeicherten Informationen MÜSSEN vor Verlust ihrer Vertraulichkeit und Integrität geschützt werden.;I;Verschlüsselung, MDM-Lösung, Konfiguration;0.5;"kein Prozess definiert; IS-205, IS-206, IS-211 liegen vor sind aber nur Entwürfe; MDM soll eingeführt werden";;
10.5.4 Verlust;10.5.4.1;Verpflichtend;Es MÜSSEN Verfahren implementiert werden, die festlegen, wie bei Verlust eines mobilen IT-Systems vorzugehen ist.;I;Verlustmeldeverfahren, Remote-Wipe-Möglichkeit;0.5;"kein Prozess definiert; IS-205 liegen vor sind aber nur Entwürfe; MDM soll eingeführt werden";;
10.6.2 Risikomanagement für kritische IT-Systeme;10.6.2.1;Verpflichtend;Für kritische IT-Systeme MUSS eine Risikoidentifikation, -analyse und -behandlung etabliert werden.;I;Risikoanalyse für kritische IT-Systeme;0;Risikoanalyse aus Blick ISO 9001 wurde durchgeführt, Anwendung auf VdS unklar;;
10.6.4 Robustheit;10.6.4.1;Verpflichtend;Auf kritischen IT-Systemen DÜRFEN KEINE Entwicklungen oder Tests durchgeführt werden.;I;Trennung von Produktiv- und Testumgebungen;0;Risikobewertung aus ISO9001 vorhanden aber keine Bewertung aus InfoSec Sicht;;
10.6.4 Robustheit;10.6.4.2;Verpflichtend;Auf kritischen IT-Systemen MÜSSEN alle nicht benötigten Netzwerkdienste deaktiviert werden.;I;Dienste-Konfiguration, Port-Scan;0;Risikobewertung aus ISO9001 vorhanden aber keine Bewertung aus InfoSec Sicht;;
10.6.5 Externe Schnittstellen und Laufwerke;10.6.5.1;Verpflichtend;Externe Schnittstellen und Laufwerke, die nicht benötigt werden, MÜSSEN ausgebaut, stillgelegt oder deaktiviert werden.;I;Hardwarekonfiguration, BIOS/UEFI-Einstellungen;0.5;Gelebt aber nicht dokumentiert;;
10.6.6 Änderungsmanagement;10.6.6.1;Verpflichtend;Änderungen an kritischen IT-Systemen MÜSSEN vorab in einer Testumgebung getestet und freigegeben werden.;I;Testumgebung, Änderungsmanagementprozess;0;Change-Management ist nicht vorhanden;;
10.6.7 Dokumentation;10.6.7.1;Verpflichtend;Für jedes kritische IT-System MUSS eine Dokumentation vorhanden sein.;I;Systemdokumentation mit administrativen Zugängen;0;Risikobewertung aus ISO9001 vorhanden aber keine Bewertung aus InfoSec Sicht;;
10.6.8 Datensicherung;10.6.8.1;Verpflichtend;Alle kritischen IT-Systeme MÜSSEN über eine Datensicherung verfügen.;I;Backup-Konfiguration, Wiederherstellungstests;0.5;Backup-Konzepte und Übersichten liegen vor. Vollständigkeit auf Grund der fehlenden Risikobewertung unklar;;
10.6.9 Überwachung;10.6.9.1;Verpflichtend;Es MUSS überwacht werden, ob sich kritische IT-Systeme im Regelbetrieb befinden.;I;Monitoring-System, Alarmierungsregeln;0.5;Monitoring liegt vor. Vollständigkeit auf Grund der fehlenden Risikobewertung unklar;;
10.6.10 Ersatzsysteme und -verfahren;10.6.10.1;Verpflichtend;Für kritische IT-Systeme MUSS die Organisation über ein Ersatzsystem oder -verfahren verfügen.;I;Dokumentierte Ersatzsysteme, Testprotokolle;0;Recovery Pläne liegen nicht vor. Vollständigkeit auf Grund der fehlenden Risikobewertung unklar;;
10.6.11 Kritische Individualsoftware;10.6.11.1;Verpflichtend;Die Organisation MUSS durch Regelungen sicherstellen, dass kritische Individualsoftware auch in Zukunft verwendet und angepasst werden kann.;I;Verträge, Quellcode-Hinterlegung, Dokumentation;0.5;Asset-Management ist vorhanden, Quellcode-Hinterlegungen auch teilweise. Keine Dokumentation vorhanden. Vollständigkeit auf Grund der fehlenden Risikobewertung unklar;;
11.2 Netzwerkplan;11.2.1;Verpflichtend;Die Netzwerke MÜSSEN so erfasst sein, dass fachlich versierte Personen die physikalische und logische Netzwerkstruktur nachvollziehen können.;D;Netzwerkplan, Netzwerkdokumentation;1;IS-444;;
11.4 Netzübergänge;11.4.1;Verpflichtend;Für Netzübergänge zu weniger vertrauenswürdigen Netzwerken MÜSSEN Netzwerkverkehr beschränkt, Verbindungen auf Schadsoftware untersucht und Sicherheitsvorfälle gemeldet werden.;I;Firewall-Regeln, IDS/IPS-System, Protokolle;1;Firewall liegt vor, IDS in Firewall;;
11.5.2 Netzwerkanschlüsse;11.5.2.1;Verpflichtend;Dauerhaft nicht genutzte Netzwerkanschlüsse MÜSSEN vor unberechtigter Nutzung gesichert werden.;I;Deaktivierte Ports, MAC-Filterung;1;Ports sind deaktiviert wenn notwendig;;
11.5.3 Segmentierung;11.5.3.1;Verpflichtend;Es MÜSSEN Kriterien definiert werden, anhand derer die Netzwerke in Sicherheitszonen unterteilt werden.;I;Segmentierungskonzept, VLAN-Konfiguration;1;VLANs vorhanden;;
11.5.4 Fernzugang;11.5.4.1;Verpflichtend;Der Zugang zu nichtöffentlichen Bereichen von IT-Systemen über unsichere Netzwerke MUSS abgesichert werden.;I;VPN-Konfiguration, Verschlüsselung, Multi-Faktor-Authentifizierung;1;MFA, VPN, Verschlüsselung vorhanden;;
11.5.5 Netzwerkkopplung;11.5.5.1;Verpflichtend;Die Kopplung von Netzwerken über weniger vertrauenswürdige Netzwerke MUSS abgesichert werden.;I;VPN-Tunnel, Verschlüsselung, Tunnel-Konfiguration;1;MFA, VPN, Verschlüsselung vorhanden;;
11.6 Zusätzliche Maßnahmen für kritische Verbindungen;11.6.1;Verpflichtend;Für kritische Verbindungen MUSS eine Risikoidentifikation, -analyse und -behandlung etabliert werden.;I;Dokumentierte Risikoanalyse für kritische Verbindungen;0;keine Risikobewertung vorhanden;;
12.2 IS-Richtlinie für mobile Datenträger;12.2.1;Verpflichtend;In einer IS-Richtlinie MÜSSEN Regelungen für den Umgang mit mobilen Datenträgern getroffen werden.;I;Richtlinie für mobile Datenträger;0.5;"IS-206; Erstellt aber noch freizugegeben und abzustimmen";;
12.3 Schutz der Informationen;12.3.1;Empfohlen;Die auf mobilen Datenträgern gespeicherten Informationen SOLLTEN vor Verlust ihrer Vertraulichkeit und Integrität geschützt werden.;I;Verschlüsselung, Zugriffsschutz;1;keine mobilen Datenträgern mit sensiblen Daten;;
12.4 Zusätzliche Maßnahmen für kritische mobile Datenträger;12.4.1;Verpflichtend;Für kritische mobile Datenträger MUSS eine Risikoidentifikation, -analyse und -behandlung etabliert werden.;I;Dokumentierte Risikoanalyse für kritische mobile Datenträger;1;keine kritischen mobilen Datenträger;;
13.1 Grundlagen;13.1.1;Verpflichtend;Die Organisation MUSS ihre IT-Systeme und Datenleitungen gegen negative Umwelteinflüsse absichern.;I;Räumliche Schutzmaßnahmen, Gebäudesicherheit;1;Gebäudesicherheit über Vermieter und Mutterkonzern, welche ISO 27001 zertifiziert hat;;
